[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 09:32:13.957	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/api/v1/quant/news.go:261	Meilisearch service not available, falling back to MySQL
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:49.252	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:49.442	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:49.583	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:49.725	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:49.858	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/service/quant/search_engine.go:102	博查AI 联网检索失败，回退默认引擎	{"node": "", "app_id": "", "env": "", "keyword": "钼", "error": "解析博查AI 响应失败: json: cannot unmarshal number into Go struct field .code of type string"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:50.089	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/service/quant/search_engine.go:102	博查AI 联网检索失败，回退默认引擎	{"node": "", "app_id": "", "env": "", "keyword": "钨", "error": "解析博查AI 响应失败: json: cannot unmarshal number into Go struct field .code of type string"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:50.996	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/service/quant/search_engine.go:102	博查AI 联网检索失败，回退默认引擎	{"node": "", "app_id": "", "env": "", "keyword": "钨", "error": "解析博查AI 响应失败: json: cannot unmarshal number into Go struct field .code of type string"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:01:51.089	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/service/quant/search_engine.go:102	博查AI 联网检索失败，回退默认引擎	{"node": "", "app_id": "", "env": "", "keyword": "钼", "error": "解析博查AI 响应失败: json: cannot unmarshal number into Go struct field .code of type string"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:02:19.584	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:02:49.584	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:03:19.585	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:05:19.318	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:05:20.093	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101	log viewer metadata seed skipped	{"node": "", "app_id": "", "env": "", "mod": "log-viewer", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": "", "error_msg": "find monitor menu: record not found", "error_stack": "github.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).assemble\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:64\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).log\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:75\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).Warn\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:80\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.ensureLogViewerMetadata\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.RegisterTables\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:95\nmain.initializeSystem\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:51\nmain.main\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:32\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:290"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:05:49.636	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:06:19.637	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:06:30.275	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:06:30.939	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101	log viewer metadata seed skipped	{"node": "", "app_id": "", "env": "", "mod": "log-viewer", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": "", "error_msg": "find monitor menu: record not found", "error_stack": "github.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).assemble\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:64\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).log\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:75\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).Warn\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:80\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.ensureLogViewerMetadata\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.RegisterTables\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:95\nmain.initializeSystem\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:51\nmain.main\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:32\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:290"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:06:49.636	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:07:19.638	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:07:49.637	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:08:19.637	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:08:49.638	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:09:19.638	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:09:49.638	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:10:19.638	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:10:49.630	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:11:19.629	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/utils/datascope/datascope.go:203	数据权限: 业务表[addon_quant_ai_task]访问无身份上下文, 已放行(待补 ctx / 或用 WithSystem)	{"node": "", "app_id": "", "env": "", "mod": "datascope", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": ""}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:17:41.113	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101	log viewer metadata seed skipped	{"node": "", "app_id": "", "env": "", "mod": "log-viewer", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": "", "error_msg": "find monitor menu: record not found", "error_stack": "github.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).assemble\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:64\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).log\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:75\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).Warn\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:80\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.ensureLogViewerMetadata\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.RegisterTables\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:95\nmain.initializeSystem\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:51\nmain.main\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:32\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:290"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:31:44.160	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101	log viewer metadata seed skipped	{"node": "", "app_id": "", "env": "", "mod": "log-viewer", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": "", "error_msg": "find monitor menu: record not found", "error_stack": "github.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).assemble\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:64\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).log\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:75\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).Warn\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:80\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.ensureLogViewerMetadata\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.RegisterTables\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:95\nmain.initializeSystem\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:51\nmain.main\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:32\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:290"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:39:49.238	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101	log viewer metadata seed skipped	{"node": "", "app_id": "", "env": "", "mod": "log-viewer", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": "", "error_msg": "find monitor menu: record not found", "error_stack": "github.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).assemble\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:64\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).log\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:75\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).Warn\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:80\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.ensureLogViewerMetadata\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.RegisterTables\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:95\nmain.initializeSystem\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:51\nmain.main\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:32\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:290"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:42:16.967	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101	log viewer metadata seed skipped	{"node": "", "app_id": "", "env": "", "mod": "log-viewer", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": "", "error_msg": "find monitor menu: record not found", "error_stack": "github.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).assemble\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:64\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).log\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:75\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).Warn\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:80\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.ensureLogViewerMetadata\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.RegisterTables\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:95\nmain.initializeSystem\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:51\nmain.main\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:32\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:290"}
[github.com/flipped-aurora/gin-vue-admin/server]2026-08-25 23:44:08.300	[33mwarn[0m	/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101	log viewer metadata seed skipped	{"node": "", "app_id": "", "env": "", "mod": "log-viewer", "request_id": "", "trace_id": "", "device_id": "", "client_ip": "", "http_method": "", "http_path": "", "error_msg": "find monitor menu: record not found", "error_stack": "github.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).assemble\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:64\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).log\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:75\ngithub.com/flipped-aurora/gin-vue-admin/server/utils/logger.(*Builder).Warn\n\t/Users/a1/data/go/gin-vue-admin/server/utils/logger/builder.go:80\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.ensureLogViewerMetadata\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:101\ngithub.com/flipped-aurora/gin-vue-admin/server/initialize.RegisterTables\n\t/Users/a1/data/go/gin-vue-admin/server/initialize/gorm.go:95\nmain.initializeSystem\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:51\nmain.main\n\t/Users/a1/data/go/gin-vue-admin/server/main.go:32\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:290"}
